-,dash
#,number
$,dollar
%,percent
&,and
.,dot
_,underscore
~,tilde
=,equals
>,greater than
::,::
ז,ז
ח,ח
נ,נ
ס,ס
צ,צ
ר,ר
ט,ט
ב,ב
ג,ג
ד,ד
ה,ה
כ,כ
ע,ע
ף,ף
פ,פ
ץ,ץ
ק,ק
ש,ש
ו,ו
א,א
ם,ם
ת,ת
ל,ל
ך,ך
י,י
ן,ן
מ,מ
×,times
字,字
ᠭ,ᠭ
Ġ,Ġ
ᠠ,ᠠ
ᠡ,ᠡ
ᠦ,ᠦ
ᠯ,ᠯ
場,場
堂,堂
ᠣ,ᠣ
堤,堤
堀,堀
報,報
ᠩ,ᠩ
ᠬ,ᠬ
ᠮ,ᠮ
ᠰ,ᠰ
堵,堵
ᠹ,ᠹ
ᠲ,ᠲ
ር,ር
ለ,ለ
ሴ,ሴ
券,券
刘,刘
刑,刑
ላ,ላ
ማ,ማ
创,创
別,別
ራ,ራ
刻,刻
利,利
ስ,ስ
制,制
ህ,ህ
分,分
ሕ,ሕ
ሁ,ሁ
初,初
刃,刃
刺,刺
刚,刚
塘,塘
塔,塔
塾,塾
塚,塚
塞,塞
学,学
গ,গ
妖,妖
妈,妈
ন,ন
ণ,ণ
妻,妻
ম,ম
妮,妮
妲,妲
জ,জ
妙,妙
娘,娘
娥,娥
威,威
實,實
寨,寨
寿,寿
寒,寒
寫,寫
寶,寶
対,対
对,对
寺,寺
富,富
察,察
崔,崔
崇,崇
崎,崎
อ,อ
中,中
學,學
ถ,ถ
世,世
帖,帖
丈,丈
师,师
ม,ม
带,带
帯,帯
Ḵ,Ḵ
丸,丸
常,常
ธ,ธ
丘,丘
市,市
ณ,ณ
专,专
ด,ด
ค,ค
下,下
ย,ย
ร,ร
Ḥ,Ḥ
ล,ล
一,一
ห,ห
師,師
主,主
ว,ว
ะ,ะ
丰,丰
帶,帶
ง,ง
万,万
丕,丕
三,三
ก,ก
丁,丁
不,不
帝,帝
丽,丽
丹,丹
Ḳ,Ḳ
า,า
帳,帳
ส,ส
七,七
布,布
帺,帺
东,东
希,希
上,上
业,业
น,น
พ,พ
与,与
ſ,ſ
ῖ,ῖ
俗,俗
志,志
忠,忠
信,信
ῦ,ῦ
ῴ,ῴ
俱,俱
快,快
修,修
念,念
ῶ,ῶ
ῷ,ῷ
必,必
ῆ,ῆ
忆,忆
ῇ,ῇ
保,保
忍,忍
ῳ,ῳ
心,心
俊,俊
Ę,Ę
